"Name";"Artikelnummer";"QR-/Barcode";"Kategorie";"Unterkategorie";"Einheit";"Durchmesser";"Laenge";"Bestand";"Mindestbestand";"Lagerort";"Lieferant";"Notiz";"Listenpreis";"Einkaufspreis";"Rabatt"
"Nagelrollen Coilnägel Drahtgebunden 16° Ring Blank";"C16R-2565";"C16R-2565";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,5";"65";"0";"0";"";"Holzbau-Shop";"";"16,96";"5,94";"65,0"
"Nagelrollen Coilnägel Drahtgebunden 16° Ring Blank";"C16R-2842";"C16R-2842";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,8";"42";"0";"0";"";"Holzbau-Shop";"";"16,96";"5,94";"65,0"
"Nagelrollen Coilnägel Drahtgebunden 16° Ring Blank";"C16R-2870";"C16R-2870";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,8";"70";"0";"0";"";"Holzbau-Shop";"";"20,14";"7,05";"65,0"
"Nagelrollen Coilnägel Drahtgebunden 16° Ring Blank";"C16R-3170";"C16R-3170";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,1";"70";"0";"0";"";"Holzbau-Shop";"";"30,74";"10,76";"65,0"
"Nagelrollen Coilnägel Drahtgebunden 16° Ring Blank";"C16R-3180";"C16R-3180";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,1";"80";"0";"0";"";"Holzbau-Shop";"";"32,86";"11,50";"65,0"
"Nagelrollen Coilnägel Drahtgebunden 16° Ring Blank";"C16R-3190";"C16R-3190";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,1";"90";"0";"0";"";"Holzbau-Shop";"";"30,74";"10,76";"65,0"
"Nagelrollen Coilnägel Drahtgebunden 16° Schraub Blank";"C16S-3190";"C16S-3190";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,1";"90";"0";"0";"";"Holzbau-Shop";"";"30,74";"10,76";"65,0"
"Nagelrollen Coilnägel Drahtgebunden 16° Glatt Galv. Verzinkt";"C16-HGA-2870";"C16-HGA-2870";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,8";"70";"0";"0";"";"Holzbau-Shop";"";"32,86";"11,50";"65,0"
"Nagelrollen Coilnägel Drahtgebunden 16° Glatt Galv. Verzinkt";"C16-HGA-3170";"C16-HGA-3170";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,1";"70";"0";"0";"";"Holzbau-Shop";"";"39,70";"13,89";"65,0"
"Nagelrollen Coilnägel Drahtgebunden 16° Ring Galv. Verzinkt";"C16R-HGA-2550";"C16R-HGA-2550";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,5";"50";"0";"0";"";"Holzbau-Shop";"";"23,32";"8,16";"65,0"
"Nagelrollen Coilnägel Drahtgebunden 16° Ring Galv. Verzinkt";"C16R-HGA-2565";"C16R-HGA-2565";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,5";"65";"0";"0";"";"Holzbau-Shop";"";"25,44";"8,90";"65,0"
"Nagelrollen Coilnägel Drahtgebunden 16° Ring Galv. Verzinkt";"C16R-HGA-2870";"C16R-HGA-2870";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,8";"70";"0";"0";"";"Holzbau-Shop";"";"32,86";"11,50";"65,0"
"Nagelrollen Coilnägel Drahtgebunden 16° Ring Galv. Verzinkt";"C16R-HGA-3170";"C16R-HGA-3170";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,1";"70";"0";"0";"";"Holzbau-Shop";"";"37,10";"12,98";"65,0"
